id,split,action,original_spans,cleaned_spans,removed_spans,reason
viocd_train_140,train,cleaned,"[{""start"": 0, ""end"": 11, ""text"": ""dịch vụ tệ,""}, {""start"": 16, ""end"": 27, ""text"": ""bạn quá tải""}, {""start"": 37, ""end"": 51, ""text"": ""thông báo ngay""}, {""start"": 181, ""end"": 201, ""text"": ""đặt hàng bị huỷ, rồi""}, {""start"": 75, ""end"": 96, ""text"": ""tôi phải lóc cóc, tạo""}, {""start"": 101, ""end"": 131, ""text"": ""đặt món ăn, chờ gần 30p, không""}, {""start"": 126, ""end"": 163, ""text"": ""không hề có một cuộc gọi xin lỗi, chỉ""}, {""start"": 215, ""end"": 257, ""text"": ""bạn muốn ăn gì hay không thì bạn tự xử đi,""}]","[{""start"": 0, ""end"": 11, ""text"": ""dịch vụ tệ,""}, {""start"": 16, ""end"": 27, ""text"": ""bạn quá tải""}, {""start"": 37, ""end"": 51, ""text"": ""thông báo ngay""}, {""start"": 75, ""end"": 96, ""text"": ""tôi phải lóc cóc, tạo""}, {""start"": 126, ""end"": 163, ""text"": ""không hề có một cuộc gọi xin lỗi, chỉ""}, {""start"": 181, ""end"": 201, ""text"": ""đặt hàng bị huỷ, rồi""}, {""start"": 215, ""end"": 257, ""text"": ""bạn muốn ăn gì hay không thì bạn tự xử đi,""}]","[{""start"": 101, ""end"": 131, ""text"": ""đặt món ăn, chờ gần 30p, không""}]",partial_overlap_resolved
viocd_train_202,train,verified_fixed,"[{""start"": 10, ""end"": 21, ""text"": ""ít nhiệm vụ""}, {""start"": 126, ""end"": 144, ""text"": ""chán quá trời ra..""}, {""start"": 82, ""end"": 130, ""text"": ""nhiệm vụ cho đồ khác thì theo một khuôn khổ chán""}]","[{""start"": 10, ""end"": 21, ""text"": ""ít nhiệm vụ""}, {""start"": 82, ""end"": 130, ""text"": ""nhiệm vụ cho đồ khác thì theo một khuôn khổ chán""}]",[],partial_overlap_resolved
viocd_train_285,train,cleaned,"[{""start"": 0, ""end"": 16, ""text"": ""game quá tệ,ngốn""}, {""start"": 104, ""end"": 137, ""text"": ""mặc dù mạng vẫn ổn định mức trung""}, {""start"": 9, ""end"": 46, ""text"": ""tệ,ngốn dữ liệu bộ nhớ máy quá nhiều,""}, {""start"": 60, ""end"": 107, ""text"": ""gặp trường hợp tự động ngắt kết nối máy chủ mặc""}]","[{""start"": 9, ""end"": 46, ""text"": ""tệ,ngốn dữ liệu bộ nhớ máy quá nhiều,""}, {""start"": 60, ""end"": 107, ""text"": ""gặp trường hợp tự động ngắt kết nối máy chủ mặc""}]","[{""start"": 0, ""end"": 16, ""text"": ""game quá tệ,ngốn""}]",partial_overlap_resolved
viocd_train_375,train,cleaned,"[{""start"": 266, ""end"": 287, ""text"": ""thì lại không  được .""}, {""start"": 148, ""end"": 174, ""text"": ""cứ bắt thêm người vô. muốn""}, {""start"": 35, ""end"": 74, ""text"": ""mà nó cứ yêu cầu thêm ai đó vào là sao?""}, {""start"": 170, ""end"": 225, ""text"": ""muốn đăng lên trang nhà toàn phải ghi âm trực tiếp, còn""}]","[{""start"": 35, ""end"": 74, ""text"": ""mà nó cứ yêu cầu thêm ai đó vào là sao?""}, {""start"": 170, ""end"": 225, ""text"": ""muốn đăng lên trang nhà toàn phải ghi âm trực tiếp, còn""}, {""start"": 266, ""end"": 287, ""text"": ""thì lại không  được .""}]","[{""start"": 148, ""end"": 174, ""text"": ""cứ bắt thêm người vô. muốn""}]",partial_overlap_resolved
viocd_train_416,train,cleaned,"[{""start"": 0, ""end"": 11, ""text"": ""rất tệ. lừa""}, {""start"": 8, ""end"": 27, ""text"": ""lừa đảo tiền. không""}, {""start"": 22, ""end"": 52, ""text"": ""không có nút huỷ đơn hàng. nếu""}, {""start"": 193, ""end"": 225, ""text"": ""toàn kiếm cách moi móc tiền. nói""}, {""start"": 125, ""end"": 197, ""text"": ""phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ  positive  toàn""}, {""start"": 49, ""end"": 128, ""text"": ""nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí""}]","[{""start"": 49, ""end"": 128, ""text"": ""nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí""}, {""start"": 193, ""end"": 225, ""text"": ""toàn kiếm cách moi móc tiền. nói""}]","[{""start"": 0, ""end"": 11, ""text"": ""rất tệ. lừa""}, {""start"": 8, ""end"": 27, ""text"": ""lừa đảo tiền. không""}, {""start"": 22, ""end"": 52, ""text"": ""không có nút huỷ đơn hàng. nếu""}]",partial_overlap_resolved
viocd_train_511,train,cleaned,"[{""start"": 62, ""end"": 94, ""text"": ""tăng giá giao hàng ghê qua. giao""}, {""start"": 190, ""end"": 225, ""text"": ""phải trả thêm hơn 35k cho phí ship.""}, {""start"": 291, ""end"": 332, ""text"": ""dạo này hết muốn mua  cửa hàng E luôn rồi""}, {""start"": 90, ""end"": 135, ""text"": ""giao hàng một đơn hàng nội thành mà trên 75k.""}, {""start"": 140, ""end"": 185, ""text"": ""phải mua trên 150k để được frE giao hàng 40k.""}, {""start"": 226, ""end"": 286, ""text"": ""tính ra phải mua nhiều mà không  được  frE giao hàng gì hết.""}]","[{""start"": 90, ""end"": 135, ""text"": ""giao hàng một đơn hàng nội thành mà trên 75k.""}, {""start"": 140, ""end"": 185, ""text"": ""phải mua trên 150k để được frE giao hàng 40k.""}, {""start"": 190, ""end"": 225, ""text"": ""phải trả thêm hơn 35k cho phí ship.""}, {""start"": 226, ""end"": 286, ""text"": ""tính ra phải mua nhiều mà không  được  frE giao hàng gì hết.""}, {""start"": 291, ""end"": 332, ""text"": ""dạo này hết muốn mua  cửa hàng E luôn rồi""}]","[{""start"": 62, ""end"": 94, ""text"": ""tăng giá giao hàng ghê qua. giao""}]",partial_overlap_resolved
viocd_train_930,train,verified_fixed,"[{""start"": 26, ""end"": 32, ""text"": ""lag.vs""}, {""start"": 96, ""end"": 108, ""text"": ""lag thật sự.""}, {""start"": 86, ""end"": 99, ""text"": ""không nổi lag""}, {""start"": 0, ""end"": 16, ""text"": ""lag thật sự.wifi""}]","[{""start"": 0, ""end"": 16, ""text"": ""lag thật sự.wifi""}, {""start"": 26, ""end"": 32, ""text"": ""lag.vs""}, {""start"": 86, ""end"": 99, ""text"": ""không nổi lag""}]",[],partial_overlap_resolved
viocd_train_1107,train,cleaned,"[{""start"": 37, ""end"": 130, ""text"": ""bảo là tài khoản của tôi có vi phạm điều gì đó sau đó còn bắt làm đủ thứ chuyện vãi thật, bắt""}, {""start"": 127, ""end"": 240, ""text"": ""bắt gửi lại mã sms nữa viết y chang số mà twiTer gửi cho tôi mà lại nói sms không đúng  positive  nực cười làm ăn""}]","[{""start"": 127, ""end"": 240, ""text"": ""bắt gửi lại mã sms nữa viết y chang số mà twiTer gửi cho tôi mà lại nói sms không đúng  positive  nực cười làm ăn""}]","[{""start"": 37, ""end"": 130, ""text"": ""bảo là tài khoản của tôi có vi phạm điều gì đó sau đó còn bắt làm đủ thứ chuyện vãi thật, bắt""}]",partial_overlap_resolved
viocd_train_1396,train,verified_fixed,"[{""start"": 113, ""end"": 125, ""text"": ""-5 star  tôi""}, {""start"": 93, ""end"": 109, ""text"": ""gỡ game luôn nếu""}, {""start"": 44, ""end"": 66, ""text"": ""làm ăn kiểu gì thế,...""}, {""start"": 256, ""end"": 281, ""text"": ""không còn ...đệc moẹ game""}, {""start"": 67, ""end"": 95, ""text"": ""iG sứng đáng  1star   nè, gỡ""}, {""start"": 168, ""end"": 201, ""text"": ""vừa hút máu vừa bảo trì liên tục,""}, {""start"": 0, ""end"": 38, ""text"": ""cập nhật xong bắt chơi lại từ đầu luôn""}, {""start"": 202, ""end"": 250, ""text"": ""cập nhật xong tất cả tài khoản đã liên kết gmail""}]","[{""start"": 0, ""end"": 38, ""text"": ""cập nhật xong bắt chơi lại từ đầu luôn""}, {""start"": 44, ""end"": 66, ""text"": ""làm ăn kiểu gì thế,...""}, {""start"": 67, ""end"": 95, ""text"": ""iG sứng đáng  1star   nè, gỡ""}, {""start"": 113, ""end"": 125, ""text"": ""-5 star  tôi""}, {""start"": 168, ""end"": 201, ""text"": ""vừa hút máu vừa bảo trì liên tục,""}, {""start"": 202, ""end"": 250, ""text"": ""cập nhật xong tất cả tài khoản đã liên kết gmail""}, {""start"": 256, ""end"": 281, ""text"": ""không còn ...đệc moẹ game""}]",[],partial_overlap_resolved
viocd_train_1484,train,verified_fixed,"[{""start"": 29, ""end"": 44, ""text"": ""may tệ,chỉ lòng""}, {""start"": 14, ""end"": 32, ""text"": ""vải mỏng,đường may""}, {""start"": 40, ""end"": 64, ""text"": ""lòng thòng tùm lum. quan""}]","[{""start"": 14, ""end"": 32, ""text"": ""vải mỏng,đường may""}, {""start"": 40, ""end"": 64, ""text"": ""lòng thòng tùm lum. quan""}]",[],partial_overlap_resolved
viocd_train_2516,train,cleaned,"[{""start"": 149, ""end"": 159, ""text"": ""nóng máy ,""}, {""start"": 0, ""end"": 11, ""text"": ""dẹp mẹ game""}, {""start"": 160, ""end"": 171, ""text"": ""hao pin nữa""}, {""start"": 34, ""end"": 48, ""text"": ""lắc kinh không""}, {""start"": 132, ""end"": 148, ""text"": ""đứng hình hoài ,""}, {""start"": 43, ""end"": 92, ""text"": ""không sử dụng wifi thì không kết nối  được  trong""}]","[{""start"": 0, ""end"": 11, ""text"": ""dẹp mẹ game""}, {""start"": 43, ""end"": 92, ""text"": ""không sử dụng wifi thì không kết nối  được  trong""}, {""start"": 132, ""end"": 148, ""text"": ""đứng hình hoài ,""}, {""start"": 149, ""end"": 159, ""text"": ""nóng máy ,""}, {""start"": 160, ""end"": 171, ""text"": ""hao pin nữa""}]","[{""start"": 34, ""end"": 48, ""text"": ""lắc kinh không""}]",partial_overlap_resolved
viocd_train_2780,train,cleaned,"[{""start"": 109, ""end"": 128, ""text"": ""ứng dụng bị đơ, bấm""}, {""start"": 201, ""end"": 224, ""text"": ""ứng dụng lại bị đơ. lỗi""}, {""start"": 9, ""end"": 51, ""text"": ""bị lỗi quá lâu mà không hề được khắc phục,""}, {""start"": 221, ""end"": 282, ""text"": ""lỗi này chắc cũng phải nửa năm nhưng chưa được khắc phục. quá""}]","[{""start"": 9, ""end"": 51, ""text"": ""bị lỗi quá lâu mà không hề được khắc phục,""}, {""start"": 109, ""end"": 128, ""text"": ""ứng dụng bị đơ, bấm""}, {""start"": 221, ""end"": 282, ""text"": ""lỗi này chắc cũng phải nửa năm nhưng chưa được khắc phục. quá""}]","[{""start"": 201, ""end"": 224, ""text"": ""ứng dụng lại bị đơ. lỗi""}]",partial_overlap_resolved
viocd_train_3208,train,cleaned,"[{""start"": 0, ""end"": 10, ""text"": ""quá tệ ...""}, {""start"": 11, ""end"": 46, ""text"": ""giao hàng gì mà 2 chiếc 2 màu ...ko""}, {""start"": 41, ""end"": 95, ""text"": ""...ko sao liên lạc đuoc voi bát cứ ai... lazada...cũng""}, {""start"": 82, ""end"": 160, ""text"": ""lazada...cũng không duoc... cửa hàng  bán hàng cũng không đuoc luon...buồn quá""}]","[{""start"": 0, ""end"": 10, ""text"": ""quá tệ ...""}, {""start"": 82, ""end"": 160, ""text"": ""lazada...cũng không duoc... cửa hàng  bán hàng cũng không đuoc luon...buồn quá""}]","[{""start"": 11, ""end"": 46, ""text"": ""giao hàng gì mà 2 chiếc 2 màu ...ko""}, {""start"": 41, ""end"": 95, ""text"": ""...ko sao liên lạc đuoc voi bát cứ ai... lazada...cũng""}]",partial_overlap_resolved
viocd_train_3247,train,cleaned,"[{""start"": 23, ""end"": 33, ""text"": ""lừa đảo đó""}, {""start"": 122, ""end"": 137, ""text"": ""đi rồi chết lừa""}, {""start"": 88, ""end"": 106, ""text"": ""chặng tôi luôn rồi""}, {""start"": 134, ""end"": 171, ""text"": ""lừa đảo lừa đảo đó lừa đảo lừa đảo đó""}]","[{""start"": 23, ""end"": 33, ""text"": ""lừa đảo đó""}, {""start"": 88, ""end"": 106, ""text"": ""chặng tôi luôn rồi""}, {""start"": 134, ""end"": 171, ""text"": ""lừa đảo lừa đảo đó lừa đảo lừa đảo đó""}]","[{""start"": 122, ""end"": 137, ""text"": ""đi rồi chết lừa""}]",partial_overlap_resolved
viocd_train_3399,train,cleaned,"[{""start"": 52, ""end"": 64, ""text"": ""ít sự kiện ,""}, {""start"": 156, ""end"": 176, ""text"": ""game đôi lúc mới vào""}, {""start"": 15, ""end"": 40, ""text"": ""các chương về sau quá khó""}, {""start"": 180, ""end"": 217, ""text"": ""các chương đánh quái quá khó nên thời""}, {""start"": 213, ""end"": 259, ""text"": ""thời gian dành cho game này hầu như không có ,""}, {""start"": 71, ""end"": 153, ""text"": ""đánh xong mấy tầng rồi ngồi chờ tới khi nào mạnh lên mới đánh tiếp các chương được""}]","[{""start"": 15, ""end"": 40, ""text"": ""các chương về sau quá khó""}, {""start"": 52, ""end"": 64, ""text"": ""ít sự kiện ,""}, {""start"": 71, ""end"": 153, ""text"": ""đánh xong mấy tầng rồi ngồi chờ tới khi nào mạnh lên mới đánh tiếp các chương được""}, {""start"": 156, ""end"": 176, ""text"": ""game đôi lúc mới vào""}, {""start"": 213, ""end"": 259, ""text"": ""thời gian dành cho game này hầu như không có ,""}]","[{""start"": 180, ""end"": 217, ""text"": ""các chương đánh quái quá khó nên thời""}]",partial_overlap_resolved
viocd_train_3603,train,cleaned,"[{""start"": 98, ""end"": 119, ""text"": ""làm tôi rất thất vọng""}, {""start"": 122, ""end"": 158, ""text"": ""bản đồ giao diện thật sự nhìn rất tệ""}, {""start"": 0, ""end"": 39, ""text"": ""liên quân phiên bản 3.0 thật sự quá tệ.""}, {""start"": 161, ""end"": 203, ""text"": ""thật sự tôi phải xoá game bởi vì nó rất tệ""}, {""start"": 169, ""end"": 270, ""text"": ""tôi phải xoá game bởi vì nó rất tệ khôg phải riêng tôi mà là tất cả mọi người đều quen với bản đồ cũ.""}]","[{""start"": 0, ""end"": 39, ""text"": ""liên quân phiên bản 3.0 thật sự quá tệ.""}, {""start"": 98, ""end"": 119, ""text"": ""làm tôi rất thất vọng""}, {""start"": 122, ""end"": 158, ""text"": ""bản đồ giao diện thật sự nhìn rất tệ""}, {""start"": 169, ""end"": 270, ""text"": ""tôi phải xoá game bởi vì nó rất tệ khôg phải riêng tôi mà là tất cả mọi người đều quen với bản đồ cũ.""}]","[{""start"": 161, ""end"": 203, ""text"": ""thật sự tôi phải xoá game bởi vì nó rất tệ""}]",partial_overlap_resolved
viocd_train_3637,train,cleaned,"[{""start"": 19, ""end"": 29, ""text"": ""cheat, nạp""}, {""start"": 0, ""end"": 13, ""text"": ""game rất nát,""}, {""start"": 26, ""end"": 40, ""text"": ""nạp lậu ầm ầm,""}, {""start"": 154, ""end"": 169, ""text"": ""toàn lừa đảo...""}, {""start"": 9, ""end"": 25, ""text"": ""nát, bug, cheat,""}, {""start"": 126, ""end"": 153, ""text"": ""thiếu tôn trọng người chơi,""}, {""start"": 41, ""end"": 73, ""text"": ""thiệt hại người chơi chân chính,""}, {""start"": 74, ""end"": 125, ""text"": ""nph không xử lý nhưng đăng fanpage đã xử lý này nọ,""}]","[{""start"": 9, ""end"": 25, ""text"": ""nát, bug, cheat,""}, {""start"": 26, ""end"": 40, ""text"": ""nạp lậu ầm ầm,""}, {""start"": 41, ""end"": 73, ""text"": ""thiệt hại người chơi chân chính,""}, {""start"": 74, ""end"": 125, ""text"": ""nph không xử lý nhưng đăng fanpage đã xử lý này nọ,""}, {""start"": 126, ""end"": 153, ""text"": ""thiếu tôn trọng người chơi,""}, {""start"": 154, ""end"": 169, ""text"": ""toàn lừa đảo...""}]","[{""start"": 0, ""end"": 13, ""text"": ""game rất nát,""}]",partial_overlap_resolved
viocd_train_3674,train,cleaned,"[{""start"": 42, ""end"": 53, ""text"": ""mỗi tội nếu""}, {""start"": 50, ""end"": 159, ""text"": ""nếu xem  quả người cáo sẽ bị lác máy có khi bị tắt máy bất chợt khi xem phải vào lại và bị mất hết điểm nhưng""}]","[{""start"": 50, ""end"": 159, ""text"": ""nếu xem  quả người cáo sẽ bị lác máy có khi bị tắt máy bất chợt khi xem phải vào lại và bị mất hết điểm nhưng""}]","[{""start"": 42, ""end"": 53, ""text"": ""mỗi tội nếu""}]",partial_overlap_resolved
viocd_train_3711,train,cleaned,"[{""start"": 0, ""end"": 13, ""text"": ""rất thất vọng""}, {""start"": 41, ""end"": 62, ""text"": ""bị thông báo huỷ đúng""}, {""start"": 219, ""end"": 250, ""text"": ""lần 3 thì thực sự mất lòng tin.""}, {""start"": 58, ""end"": 94, ""text"": ""đúng ngày dự kiến giao hàng làm mình""}]","[{""start"": 0, ""end"": 13, ""text"": ""rất thất vọng""}, {""start"": 58, ""end"": 94, ""text"": ""đúng ngày dự kiến giao hàng làm mình""}, {""start"": 219, ""end"": 250, ""text"": ""lần 3 thì thực sự mất lòng tin.""}]","[{""start"": 41, ""end"": 62, ""text"": ""bị thông báo huỷ đúng""}]",partial_overlap_resolved
viocd_train_3764,train,cleaned,"[{""start"": 22, ""end"": 32, ""text"": ""thất vọng!""}, {""start"": 0, ""end"": 12, ""text"": ""ngay từ vòng""}, {""start"": 77, ""end"": 89, ""text"": ""lỗi đăng kí!""}, {""start"": 217, ""end"": 231, ""text"": ""khó thế! không""}, {""start"": 313, ""end"": 333, ""text"": ""không hài lòng! mong""}, {""start"": 169, ""end"": 193, ""text"": ""đi cũng không xong! muốn""}, {""start"": 226, ""end"": 255, ""text"": ""không thích một chút nào! cho""}, {""start"": 138, ""end"": 168, ""text"": ""tiếp tục cũng không  được  xoá""}, {""start"": 90, ""end"": 137, ""text"": ""thử đi thử lại bao nhiêu lần cũng không  được !""}]","[{""start"": 0, ""end"": 12, ""text"": ""ngay từ vòng""}, {""start"": 22, ""end"": 32, ""text"": ""thất vọng!""}, {""start"": 77, ""end"": 89, ""text"": ""lỗi đăng kí!""}, {""start"": 90, ""end"": 137, ""text"": ""thử đi thử lại bao nhiêu lần cũng không  được !""}, {""start"": 138, ""end"": 168, ""text"": ""tiếp tục cũng không  được  xoá""}, {""start"": 169, ""end"": 193, ""text"": ""đi cũng không xong! muốn""}, {""start"": 226, ""end"": 255, ""text"": ""không thích một chút nào! cho""}, {""start"": 313, ""end"": 333, ""text"": ""không hài lòng! mong""}]","[{""start"": 217, ""end"": 231, ""text"": ""khó thế! không""}]",partial_overlap_resolved
viocd_train_3865,train,cleaned,"[{""start"": 0, ""end"": 17, ""text"": ""cửa hàng  lừa đảo""}, {""start"": 44, ""end"": 62, ""text"": ""đôi không như hình""}, {""start"": 67, ""end"": 90, ""text"": ""không bằng đôi ngài chợ""}, {""start"": 103, ""end"": 133, ""text"": ""mấy đồng đòi trả hàng chứ! cầm""}, {""start"": 130, ""end"": 160, ""text"": ""cầm dôi dép mà tức chết, không""}, {""start"": 177, ""end"": 227, ""text"": ""đừng làm kiểu treo đầu dê batnhit gì  chó nhue vậy""}]","[{""start"": 0, ""end"": 17, ""text"": ""cửa hàng  lừa đảo""}, {""start"": 44, ""end"": 62, ""text"": ""đôi không như hình""}, {""start"": 67, ""end"": 90, ""text"": ""không bằng đôi ngài chợ""}, {""start"": 130, ""end"": 160, ""text"": ""cầm dôi dép mà tức chết, không""}, {""start"": 177, ""end"": 227, ""text"": ""đừng làm kiểu treo đầu dê batnhit gì  chó nhue vậy""}]","[{""start"": 103, ""end"": 133, ""text"": ""mấy đồng đòi trả hàng chứ! cầm""}]",partial_overlap_resolved
viocd_train_4243,train,cleaned,"[{""start"": 72, ""end"": 91, ""text"": ""thấy thất vọng thân""}, {""start"": 0, ""end"": 20, ""text"": ""hàng kém chất lượng,""}, {""start"": 21, ""end"": 49, ""text"": ""đế và thân rất dễ rớt ra.lần""}, {""start"": 87, ""end"": 124, ""text"": ""thân dép không có chữ crocs như trong""}]","[{""start"": 0, ""end"": 20, ""text"": ""hàng kém chất lượng,""}, {""start"": 21, ""end"": 49, ""text"": ""đế và thân rất dễ rớt ra.lần""}, {""start"": 87, ""end"": 124, ""text"": ""thân dép không có chữ crocs như trong""}]","[{""start"": 72, ""end"": 91, ""text"": ""thấy thất vọng thân""}]",partial_overlap_resolved
viocd_validation_125,valid,cleaned,"[{""start"": 0, ""end"": 20, ""text"": ""làm ăn không uy tín!""}, {""start"": 85, ""end"": 113, ""text"": ""trôi một tháng bảo hành! anh""}, {""start"": 21, ""end"": 50, ""text"": ""giáo hàng đã qua sử dụng! hư!""}, {""start"": 47, ""end"": 89, ""text"": ""hư! máy mới chưa xài kêu đi bảo hành! trôi""}]","[{""start"": 0, ""end"": 20, ""text"": ""làm ăn không uy tín!""}, {""start"": 47, ""end"": 89, ""text"": ""hư! máy mới chưa xài kêu đi bảo hành! trôi""}]","[{""start"": 21, ""end"": 50, ""text"": ""giáo hàng đã qua sử dụng! hư!""}]",partial_overlap_resolved
viocd_validation_277,valid,cleaned,"[{""start"": 109, ""end"": 124, ""text"": ""có tiếng là chỉ""}, {""start"": 194, ""end"": 264, ""text"": ""giá luôn cao hơn các sàn tmđt khác thì phải đi đôi với chất lượng nữa.""}, {""start"": 121, ""end"": 193, ""text"": ""chỉ cung cấp sản phẩm chính hãng thì phải kiểm soát chất lượng sản phẩm,""}]","[{""start"": 121, ""end"": 193, ""text"": ""chỉ cung cấp sản phẩm chính hãng thì phải kiểm soát chất lượng sản phẩm,""}, {""start"": 194, ""end"": 264, ""text"": ""giá luôn cao hơn các sàn tmđt khác thì phải đi đôi với chất lượng nữa.""}]","[{""start"": 109, ""end"": 124, ""text"": ""có tiếng là chỉ""}]",partial_overlap_resolved
viocd_test_27,test,cleaned,"[{""start"": 0, ""end"": 15, ""text"": ""quá tệ,hàng hay""}, {""start"": 12, ""end"": 31, ""text"": ""hay bị lỗi,còn giao""}, {""start"": 27, ""end"": 56, ""text"": ""giao hàng cục đá tới nữa chứ,""}, {""start"": 104, ""end"": 140, ""text"": ""điện thoại lên thì không trả lời, sử""}, {""start"": 272, ""end"": 320, ""text"": ""nhưng bên nhân viên tiki không xem như vậ... bài""}, {""start"": 208, ""end"": 257, ""text"": ""xảy ra quá nhiều, không thể chấp nhận  được ,mình""}, {""start"": 57, ""end"": 108, ""text"": ""trả đổi hàng lại gần cả tháng chả thấy hồi âm, điện""}]","[{""start"": 27, ""end"": 56, ""text"": ""giao hàng cục đá tới nữa chứ,""}, {""start"": 57, ""end"": 108, ""text"": ""trả đổi hàng lại gần cả tháng chả thấy hồi âm, điện""}, {""start"": 208, ""end"": 257, ""text"": ""xảy ra quá nhiều, không thể chấp nhận  được ,mình""}, {""start"": 272, ""end"": 320, ""text"": ""nhưng bên nhân viên tiki không xem như vậ... bài""}]","[{""start"": 0, ""end"": 15, ""text"": ""quá tệ,hàng hay""}, {""start"": 12, ""end"": 31, ""text"": ""hay bị lỗi,còn giao""}]",partial_overlap_resolved
viocd_test_175,test,verified_fixed,"[{""start"": 90, ""end"": 138, ""text"": ""không thể kết nối tài khoản cũ vào game được nữa""}, {""start"": 29, ""end"": 95, ""text"": ""tôi đăng nhập vào tài khoản gOgle của tôi liên tục thất bại, không""}]","[{""start"": 29, ""end"": 95, ""text"": ""tôi đăng nhập vào tài khoản gOgle của tôi liên tục thất bại, không""}]",[],partial_overlap_resolved
