id,split,text,reason,original_spans,reconstructed_spans
viocd_train_140,train,"dịch vụ tệ, các bạn quá tải vui lòng thông báo ngay trang đầu đặt dịch vụ, tôi phải lóc cóc, tạo aC, đặt món ăn, chờ gần 30p, không hề có một cuộc gọi xin lỗi, chỉ có một thông báo đặt hàng bị huỷ, rồ",derived_span_mismatch,"[{""start"": 0, ""end"": 11, ""text"": ""dịch vụ tệ,"", ""start_token"": 0, ""end_token"": 2, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 16, ""end"": 27, ""text"": ""bạn quá tải"", ""start_token"": 4, ""end_token"": 6, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 37, ""end"": 51, ""text"": ""thông báo ngay"", ""start_token"": 9, ""end_token"": 11, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 181, ""end"": 201, ""text"": ""đặt hàng bị huỷ, rồi"", ""start_token"": 42, ""end_token"": 46, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 75, ""end"": 96, ""text"": ""tôi phải lóc cóc, tạo"", ""start_token"": 17, ""end_token"": 21, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 101, ""end"": 131, ""text"": ""đặt món ăn, chờ gần 30p, không"", ""start_token"": 23, ""end_token"": 29, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 126, ""end"": 163, ""text"": ""không hề có một cuộc gọi xin lỗi, chỉ"", ""start_token"": 29, ""end_token"": 37, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 215, ""end"": 257, ""text"": ""bạn muốn ăn gì hay không thì bạn tự xử đi,"", ""start_token"": 50, ""end_token"": 60, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 0, ""end"": 11, ""text"": ""dịch vụ tệ,""}, {""start"": 16, ""end"": 27, ""text"": ""bạn quá tải""}, {""start"": 37, ""end"": 51, ""text"": ""thông báo ngay""}, {""start"": 75, ""end"": 96, ""text"": ""tôi phải lóc cóc, tạo""}, {""start"": 101, ""end"": 125, ""text"": ""đặt món ăn, chờ gần 30p,""}, {""start"": 126, ""end"": 163, ""text"": ""không hề có một cuộc gọi xin lỗi, chỉ""}, {""start"": 181, ""end"": 201, ""text"": ""đặt hàng bị huỷ, rồi""}, {""start"": 215, ""end"": 257, ""text"": ""bạn muốn ăn gì hay không thì bạn tự xử đi,""}]"
viocd_train_202,train,game hay. ít nhiệm vụ lấy đồ để cày hơn.. thực tiễn hơn.. không như mấy game khác nhiệm vụ cho đồ khác thì theo một khuôn khổ chán quá trời ra..,span_count_mismatch,"[{""start"": 10, ""end"": 21, ""text"": ""ít nhiệm vụ"", ""start_token"": 2, ""end_token"": 4, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 126, ""end"": 144, ""text"": ""chán quá trời ra.."", ""start_token"": 28, ""end_token"": 31, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 82, ""end"": 130, ""text"": ""nhiệm vụ cho đồ khác thì theo một khuôn khổ chán"", ""start_token"": 18, ""end_token"": 28, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 10, ""end"": 21, ""text"": ""ít nhiệm vụ""}, {""start"": 82, ""end"": 144, ""text"": ""nhiệm vụ cho đồ khác thì theo một khuôn khổ chán quá trời ra..""}]"
viocd_train_285,train,"game quá tệ,ngốn dữ liệu bộ nhớ máy quá nhiều, thường xuyên gặp trường hợp tự động ngắt kết nối máy chủ mặc dù mạng vẫn ổn định mức trung quốc bình cao và dòng máy tầm trung quốc",span_count_mismatch,"[{""start"": 0, ""end"": 16, ""text"": ""game quá tệ,ngốn"", ""start_token"": 0, ""end_token"": 2, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 104, ""end"": 137, ""text"": ""mặc dù mạng vẫn ổn định mức trung"", ""start_token"": 22, ""end_token"": 29, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 9, ""end"": 46, ""text"": ""tệ,ngốn dữ liệu bộ nhớ máy quá nhiều,"", ""start_token"": 2, ""end_token"": 9, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 60, ""end"": 107, ""text"": ""gặp trường hợp tự động ngắt kết nối máy chủ mặc"", ""start_token"": 12, ""end_token"": 22, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 0, ""end"": 8, ""text"": ""game quá""}, {""start"": 9, ""end"": 46, ""text"": ""tệ,ngốn dữ liệu bộ nhớ máy quá nhiều,""}, {""start"": 60, ""end"": 137, ""text"": ""gặp trường hợp tự động ngắt kết nối máy chủ mặc dù mạng vẫn ổn định mức trung""}]"
viocd_train_375,train,"mình muốn đăng một đoạn ghi âm lên mà nó cứ yêu cầu thêm ai đó vào là sao? mình muốn đăng lên trên trang nhà luôn mà, đâu phải gửi riêng ai đâu sao cứ bắt thêm người vô. muốn đăng lên trang nhà toàn p",derived_span_mismatch,"[{""start"": 266, ""end"": 287, ""text"": ""thì lại không  được ."", ""start_token"": 61, ""end_token"": 65, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 148, ""end"": 174, ""text"": ""cứ bắt thêm người vô. muốn"", ""start_token"": 35, ""end_token"": 40, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 35, ""end"": 74, ""text"": ""mà nó cứ yêu cầu thêm ai đó vào là sao?"", ""start_token"": 8, ""end_token"": 18, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 170, ""end"": 225, ""text"": ""muốn đăng lên trang nhà toàn phải ghi âm trực tiếp, còn"", ""start_token"": 40, ""end_token"": 51, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 35, ""end"": 74, ""text"": ""mà nó cứ yêu cầu thêm ai đó vào là sao?""}, {""start"": 148, ""end"": 169, ""text"": ""cứ bắt thêm người vô.""}, {""start"": 170, ""end"": 225, ""text"": ""muốn đăng lên trang nhà toàn phải ghi âm trực tiếp, còn""}, {""start"": 266, ""end"": 287, ""text"": ""thì lại không  được .""}]"
viocd_train_416,train,rất tệ. lừa đảo tiền. không có nút huỷ đơn hàng. nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ  positive  toàn ki,span_count_mismatch,"[{""start"": 0, ""end"": 11, ""text"": ""rất tệ. lừa"", ""start_token"": 0, ""end_token"": 2, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 8, ""end"": 27, ""text"": ""lừa đảo tiền. không"", ""start_token"": 2, ""end_token"": 5, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 22, ""end"": 52, ""text"": ""không có nút huỷ đơn hàng. nếu"", ""start_token"": 5, ""end_token"": 11, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 193, ""end"": 225, ""text"": ""toàn kiếm cách moi móc tiền. nói"", ""start_token"": 44, ""end_token"": 50, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 125, ""end"": 197, ""text"": ""phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ  positive  toàn"", ""start_token"": 29, ""end_token"": 44, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 49, ""end"": 128, ""text"": ""nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí"", ""start_token"": 11, ""end_token"": 29, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 0, ""end"": 7, ""text"": ""rất tệ.""}, {""start"": 8, ""end"": 21, ""text"": ""lừa đảo tiền.""}, {""start"": 22, ""end"": 48, ""text"": ""không có nút huỷ đơn hàng.""}, {""start"": 49, ""end"": 225, ""text"": ""nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ  positive  toàn kiếm cách moi móc tiền. nói""}]"
viocd_train_511,train,lúc trước mình hay mua  cửa hàng E nhưng dạo này.  cửa hàng E tăng giá giao hàng ghê qua. giao hàng một đơn hàng nội thành mà trên 75k. rồi phải mua trên 150k để được frE giao hàng 40k. vẫn phải trả t,derived_span_mismatch,"[{""start"": 62, ""end"": 94, ""text"": ""tăng giá giao hàng ghê qua. giao"", ""start_token"": 14, ""end_token"": 20, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 190, ""end"": 225, ""text"": ""phải trả thêm hơn 35k cho phí ship."", ""start_token"": 42, ""end_token"": 49, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 291, ""end"": 332, ""text"": ""dạo này hết muốn mua  cửa hàng E luôn rồi"", ""start_token"": 64, ""end_token"": 73, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 90, ""end"": 135, ""text"": ""giao hàng một đơn hàng nội thành mà trên 75k."", ""start_token"": 20, ""end_token"": 29, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 140, ""end"": 185, ""text"": ""phải mua trên 150k để được frE giao hàng 40k."", ""start_token"": 31, ""end_token"": 40, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 226, ""end"": 286, ""text"": ""tính ra phải mua nhiều mà không  được  frE giao hàng gì hết."", ""start_token"": 50, ""end_token"": 62, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 62, ""end"": 89, ""text"": ""tăng giá giao hàng ghê qua.""}, {""start"": 90, ""end"": 135, ""text"": ""giao hàng một đơn hàng nội thành mà trên 75k.""}, {""start"": 140, ""end"": 185, ""text"": ""phải mua trên 150k để được frE giao hàng 40k.""}, {""start"": 190, ""end"": 225, ""text"": ""phải trả thêm hơn 35k cho phí ship.""}, {""start"": 226, ""end"": 286, ""text"": ""tính ra phải mua nhiều mà không  được  frE giao hàng gì hết.""}, {""start"": 291, ""end"": 332, ""text"": ""dạo này hết muốn mua  cửa hàng E luôn rồi""}]"
viocd_train_930,train,lag thật sự.wifi mạnh vẫn lag.vs điện thoại oPo a9 2020 game có dung lượng nhẹ...chạy không nổi lag thật sự. mong nph xem xét lại 😠😠😠😠😠😠😠,span_count_mismatch,"[{""start"": 26, ""end"": 32, ""text"": ""lag.vs"", ""start_token"": 5, ""end_token"": 5, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 96, ""end"": 108, ""text"": ""lag thật sự."", ""start_token"": 18, ""end_token"": 20, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 86, ""end"": 99, ""text"": ""không nổi lag"", ""start_token"": 16, ""end_token"": 18, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 0, ""end"": 16, ""text"": ""lag thật sự.wifi"", ""start_token"": 0, ""end_token"": 2, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 0, ""end"": 16, ""text"": ""lag thật sự.wifi""}, {""start"": 26, ""end"": 32, ""text"": ""lag.vs""}, {""start"": 86, ""end"": 108, ""text"": ""không nổi lag thật sự.""}]"
viocd_train_1107,train,"tôi mới tạo xong tài khoản và nó lại bảo là tài khoản của tôi có vi phạm điều gì đó sau đó còn bắt làm đủ thứ chuyện vãi thật, bắt gửi lại mã sms nữa viết y chang số mà twiTer gửi cho tôi mà lại nói s",derived_span_mismatch,"[{""start"": 37, ""end"": 130, ""text"": ""bảo là tài khoản của tôi có vi phạm điều gì đó sau đó còn bắt làm đủ thứ chuyện vãi thật, bắt"", ""start_token"": 9, ""end_token"": 31, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}, {""start"": 127, ""end"": 240, ""text"": ""bắt gửi lại mã sms nữa viết y chang số mà twiTer gửi cho tôi mà lại nói sms không đúng  positive  nực cười làm ăn"", ""start_token"": 31, ""end_token"": 56, ""span_type"": ""complaint"", ""offset_source"": ""token_index_range"", ""annotation_model"": ""mistralai/mistral-small-4-119b-2603"", ""annotation_mode"": ""llm_token_index""}]","[{""start"": 37, ""end"": 126, ""text"": ""bảo là tài khoản của tôi có vi phạm điều gì đó sau đó còn bắt làm đủ thứ chuyện vãi thật,""}, {""start"": 127, ""end"": 240, ""text"": ""bắt gửi lại mã sms nữa viết y chang số mà twiTer gửi cho tôi mà lại nói sms không đúng  positive  nực cười làm ăn""}]"
