id,source,split,num_gt_spans,num_pred_spans,correct,missing_spans,extra_spans,text
viocd_test_4,viocd,test,0,0,1,,,hàng cũng được nhưng vãi hơi mỏng
viocd_test_5,viocd,test,0,0,1,,,không như ý muốn
viocd_test_6,viocd,test,0,0,1,,,sao tôi dịch tiếng nhật mà nó vẫn ra tiếng nhật tôi chỉ cho   1star
viocd_test_8,viocd,test,5,5,0,[53:58:COMP] | [1:11:COMP],[5:11:COMP] | [0:5:COMP],"tiki huỷ đơn hàng rồi không hoàn tiền cho khách hàng, gọi điện cs không nghe máy, viết mail trả lời tự động cho khách hàng một cách vô trách nhiệm. thiếu nhân viên không giao được hàng thì việc tối th"
viocd_test_10,viocd,test,3,1,0,[14:16:COMP] | [17:31:COMP] | [39:41:COMP],[14:41:COMP],"game play cực hay, đồ hoạ rất đẹp, khen ông design,... có điều là khó chịu với cái cơ chế triệu hồi vật phẩm các thứ bằng chúa khoá quá đắt, chỉ có 2 loại rương để mở thì hơi chán. đa số các gamer đều"
viocd_test_11,viocd,test,0,0,1,,,đẹp nhưng màu hơi không giống hình chút thui...
viocd_test_12,viocd,test,3,4,0,[39:43:COMP] | [0:7:COMP] | [44:66:COMP],[0:11:COMP] | [26:34:COMP] | [39:44:COMP] | [44:60:COMP],"tài khoản facebOk bị vô hiệu hoá một cách ngu xuẩn. facebOk là ứng dụng giúp tôi giải trí và trò chuyện với mọi người. nhưng giờ nó yêu cầu cả quyền cung cấp cmnd, gplx, V... bla bla... bảo mật yếu ké"
viocd_test_14,viocd,test,3,3,1,,,"dép đi hơi trơn trợt, mang lâu chút là đỗ mồ hôi, rít chân. không hài lòng"
viocd_test_15,viocd,test,1,0,0,[5:11:COMP],,mỗi lần vẽ nó cứ rung điện thoại rất khó chs mong nhà sảng xuất kiểm tra lại
viocd_test_17,viocd,test,0,0,1,,,"ứng dụng rất hay. nhưng mình thấy phần dịch nhật-việt lên để chỉ dịch ra tiếng việt, vì hầu hết mọi người không biết tiếng anh. để ý nghĩa tiếng anh sang phần dịch nhật-anh thì hợp lý hơn."
viocd_test_20,viocd,test,5,3,0,[46:62:COMP] | [7:27:COMP] | [38:42:COMP],[37:49:COMP],"vào các mục tìm kiếm rất chậm. tin nhắn mấy ngày mới thấy kiểm tra đơn hàng cũng phải đợi hơn nữa giờ mới thấy  được , vô cùng bất tiện trước thích bao nhiều yêu  thì giờ chán bấy nhiêu mong admin xem"
viocd_test_21,viocd,test,0,0,1,,,hay nhưng nhà phát hành cho thêm hiệu ứng tự cập nhật phiên bản mới nhất cho điện thoại với lại như vậy có lẽ nó sẽ hay hơn nhiều à mong nhà phát hành cho thêm cách kiếm xu mini để trẻ nhỏ chơi nữa và
viocd_test_25,viocd,test,0,0,1,,,màu đẹp nhưng sản xuất tại trung quốc quốc nên chỉ make đăng chân để mặc váy.
viocd_test_27,viocd,test,4,5,0,[12:24:COMP] | [47:57:COMP] | [60:70:COMP],[0:5:COMP] | [12:30:COMP] | [61:69:COMP] | [51:56:COMP],"quá tệ,hàng hay bị lỗi,còn giao hàng cục đá tới nữa chứ, trả đổi hàng lại gần cả tháng chả thấy hồi âm, điện thoại lên thì không trả lời, sử dụng cũng gần 2 năm mua rất nhiều đồ nhưng kể từ vài tháng "
viocd_test_31,viocd,test,0,0,1,,,"đơn hàng có quà tặng mà nhận được có kem ko, chả thấy quà đâu 🙄"
viocd_test_33,viocd,test,3,3,0,[0:3:COMP] | [3:8:COMP],[20:25:COMP] | [3:4:COMP],"kem chất lượng, đúng màu đóng gói tệ, không bao bọc túi khí mà để trần vậy luôn, may là không có hư hỏng gì"
viocd_test_35,viocd,test,0,0,1,,,ứng dụng hay nhưng cập nhật sửa lỗi không thể nhận dạng giọng nói rồi mà aP của mình vẫn không thể nhận dạng giọng nói trong luyện tập hội thoại được
viocd_test_37,viocd,test,0,0,1,,,aD giúp mình với .line trên máy điện thoại mình người khác gọi điện đến thì nghe thấy tiếng. còn mình gọi đi thì không nghe thấy gì. mình dùng phiên bản mới nhất .
viocd_test_38,viocd,test,3,6,0,[49:56:COMP] | [21:27:COMP] | [43:49:COMP],[21:26:COMP] | [26:33:COMP] | [48:56:COMP] | [39:48:COMP] | [35:39:COMP] | [15:21:COMP],"da mình thâm mụn có việc cần dùng liên tục trong 3 ngày thôi mà skin quan tâm đủ kiểu về bị nổi thêm một đống, không khuyến khích các bạn da mụn, kể cả bị thâm dùng nhé. bao bì  sản phẩm  không tạo độ"
viocd_test_39,viocd,test,3,2,0,[0:3:COMP] | [3:15:COMP] | [17:24:COMP],[3:14:COMP] | [0:2:COMP],pó tay . hình ảnh  quả người cáo và nhận như cái quần què .   1star   . tiền nào thì hàng như vậy .
viocd_test_40,viocd,test,3,3,0,[0:6:COMP] | [14:25:COMP],[14:15:COMP] | [0:1:COMP],cửa hàng  gói hàng không kĩ cộng thêm nắp chai không được cho lắm. chất kem xài bị lộ vân kem và khô da nhé
viocd_test_41,viocd,test,1,0,0,[0:3:COMP],,giao nhầm đồ rồi  cửa hàng  ơi
viocd_test_42,viocd,test,3,0,0,[43:47:COMP] | [14:27:COMP] | [59:65:COMP],,"tôi rất cảm ơn nhà sản suất, trò chơi này rất tuyệt. nhưng về hình vẽ tôi cảm thấy chúng chưa được đẹp mắt cho lắm. tôi mong nhà sản suất cố gắng . và còn phần các loại lính riêng tôi thấy còn khá ít,"
viocd_test_44,viocd,test,4,0,0,[26:47:COMP] | [47:55:COMP] | [56:64:COMP] | [20:21:COMP],,"tôi đồng với tất cả mội người vì tôi cũng vậy, khi vào game chơi ngon độ hoạ cũng đẹp lag. máy tôi là galaxy a30. nó có cái item để thây đổi quốc gia, từ trung quốc sang nhật nó không có cảnh báo gì h"
viocd_test_47,viocd,test,4,4,0,[67:74:COMP] | [10:21:COMP],[22:24:COMP] | [10:22:COMP],vì sao tôi lại chỉ cho 4 sao! thứ 1: game toàn những sever mới muốn đăng nhập cũng không  được . thứ 2: cách đăng nhập tên quá bẩn lúc có tên người ta chưa có thì nó bảo kí tự không hợp lệ thứ 3: toàn
viocd_test_49,viocd,test,0,1,0,,[5:9:COMP],đầm nhìn mẩu đẹp nhưng vải không ưng lắm  cửa hàng  nhé
viocd_test_55,viocd,test,0,0,1,,,"đặt màu đen  cửa hàng  giao màu trắng, có nhắn tin xin lỗi khách, giải quyết vấn đề nhanh chóng, thích cách phục vụ của  cửa hàng  này"
viocd_test_57,viocd,test,1,0,0,[0:3:COMP],,rộng không vừa ạ
viocd_test_58,viocd,test,0,0,1,,,không giống hình lắm. nhưng được
viocd_test_59,viocd,test,4,0,0,[12:17:COMP] | [64:66:COMP] | [22:56:COMP] | [5:7:COMP],,"đây là một phần mềm lừa đảo, mọi người đừng bị gạt, mình đã bị lừa 499k mua một năm học phí, chuyển tiền qua ngân hàng vpbank, nạp ngay tại ngân hàng từ 8h sáng mà đến tối vẫn còn kiểm tra tiền có vào"
viocd_test_60,viocd,test,0,0,1,,,tôi mới cho con học thử thấy rất hay nhưng nếu có thêm phần nghe trẻ phát âm đúng hay sai nữa thì càng tuyệt ạ
viocd_test_66,viocd,test,0,0,1,,,đồ không đúng mẫu nhưng cũng  được 😛
viocd_test_67,viocd,test,0,0,1,,,"game rất hay, các con vật rất dễ thương, nhất là bé gấu trúc, nhưng mong nhà phát hành chỉnh sửa lại con bò để cho dễ nhận biết hơn, tôi rất thích tựa game này đúng với sở thích sinh tồn của tôi. mong"
viocd_test_69,viocd,test,2,3,0,[8:12:COMP],[6:7:COMP] | [8:14:COMP],"màn hình hơi lỗi cảm ứng, đôi khi bị liệt cảm ứng ở góc trên bên phải màn hình"
viocd_test_70,viocd,test,0,0,1,,,quần đẹp nhưng siZle hơi bự
viocd_test_71,viocd,test,0,0,1,,,monkey  gì unior rất hay và hữu ích. nhưng người việt mình học tiếng anh. tôi nghĩ cần bổ sung phiên dịch sang tiếng viêt( tiếng việt đi kèm trong ngôn ngữ tiếng anh) thì tốt quá
viocd_test_72,viocd,test,0,0,1,,,em đặt mà không có thấy tặng son kèm theo  cửa hàng  ơi :(((
viocd_test_74,viocd,test,8,2,0,[3:4:COMP] | [51:61:COMP] | [9:11:COMP] | [39:50:COMP] | [72:78:COMP] | [31:37:COMP] | [15:29:COMP],[51:69:COMP],khất khó chịu đổi điểm yến tiệc tự động re tươi  thì người chơi phải on thích mới  được  tính vào thời gian đó chả nhẽ lại xoá game  positive ) game thì hút máu  positive ) bản 1.0.1 đổi tài khoản gOg
viocd_test_76,viocd,test,1,0,0,[8:15:COMP],,hàng y hình vải mềm có đều em đặt màu đen mà giao hồng nha😙😙 anh giao hàng thân thiện nhiệt tình
viocd_test_81,viocd,test,1,1,0,[0:3:COMP],[0:4:COMP],giao không đúng kem nền đã đặt
viocd_test_84,viocd,test,5,4,0,[4:9:COMP] | [59:68:COMP] | [14:29:COMP] | [30:45:COMP],[29:30:COMP] | [4:5:COMP] | [5:12:COMP],game rất hay nhưng tôi rất bức xúc vì một số lỗi. tôi đang xài một con máy tệ chơi thì đứng yên màn hình không di chuyển được. nhưng khi tôi đổi một con máy cao hơn thì tình trạng này vẫn tiếp tục. và
viocd_test_86,viocd,test,0,0,1,,,nó cứ gì gì í...
viocd_test_87,viocd,test,2,0,0,[0:3:COMP] | [7:13:COMP],,mau rách lắm chị gì  ạ em mặc có lần là rách rồi
viocd_test_88,viocd,test,3,3,0,[24:28:COMP] | [17:24:COMP],[5:13:COMP] | [17:28:COMP],"game hay, giải trí. nhưng cập nhật lên chưa kiểm tra kĩ lắm. đánh ải dựt, chậm. một số chức năng lỗi dừng aP, phải đăng nhập lại. mong admin khắc phục để người chơi có trải nghiệm tốt hơn. cảm ơn."
viocd_test_89,viocd,test,1,2,0,[6:14:COMP],[0:1:COMP] | [12:20:COMP],ứng dụng chưa được hoàn thiện bluetOth lúc nào cũng bật mà không báo chỉ khi nào vào ứng dụng và mọi người quét thì mới phát hiện có bao nhiêu người quanh bạn
viocd_test_90,viocd,test,1,0,0,[0:3:COMP],,chất không tốt
viocd_test_92,viocd,test,0,0,1,,,đặt  cỡ  40 giao 39. chật
viocd_test_95,viocd,test,0,0,1,,,dat một noi giao hang một duong  cửa hàng  lam an nhu ke
viocd_test_97,viocd,test,3,5,0,[4:24:COMP] | [24:49:COMP] | [49:67:COMP],[18:24:COMP] | [31:50:COMP] | [28:31:COMP] | [52:65:COMP] | [24:25:COMP],"nhân viên hỗ trợ chỉ nhắn một mail chung chung chả giải quyết vấn đề gì, sau đó không  trả lời  mail của tôi. nhân viên giao hàng không gọi điện, không đến giao hàng nhưng vẫn báo là người nhận vắng n"
viocd_test_99,viocd,test,2,1,0,[17:19:COMP] | [0:3:COMP],[0:5:COMP],sốp làm ăn kỳ quá mua 3 đôi mà giao có 2 đôi tính tiền 3 đôi lừa đảo
viocd_test_103,viocd,test,0,0,1,,,game rất hay nhưng mong nhà xuất bản nên cập nhật minecraft thêm những cái mới
viocd_test_105,viocd,test,0,0,1,,,không phải mẫu em chọn em gửi trả lại
viocd_test_106,viocd,test,1,0,0,[0:4:COMP],,tôi muốn trả hàng vì mặc không vừa
viocd_test_109,viocd,test,3,2,0,[11:15:COMP] | [42:47:COMP],[10:17:COMP],"ứng dụng tốt nhưng nhiều tài xế thiếu chuyên nghiệp, có thái độ lồi lõm với khách, đặc biệt là mỗi khi tôi đi grab mà có khuyến mãi là ý như rằng tôi xin tiền của tài xế không bằng á, nói móc mẻ, mỉa "
viocd_test_110,viocd,test,0,0,1,,,không tốt cho lắm
viocd_test_112,viocd,test,0,0,1,,,"game hay, nhưng tôi xin góp ý là game nên sửa một tý là nên cho mọi người đánh tên bản nhạc mà mình  thích  rồi admin của game sẽ tìm ra bản nhạc đấy và cho người tìm bản nhạc đánh bản nhạc mà mình  t"
viocd_test_113,viocd,test,5,3,0,[3:4:COMP] | [0:3:COMP] | [56:61:COMP] | [46:53:COMP] | [40:43:COMP],[38:40:COMP] | [40:61:COMP] | [0:4:COMP],dịch vụ quá tệ!chả trách bạn tôi thường mua hàng nhưng chả bao giờ khuyến khích bọn tôi mua hàng của tiki. tôi và gia đình sẽ không bao giờ mua hàng của trang này lần nào nữa. quá tệ! hàng lỗi mà thu 
viocd_test_114,viocd,test,2,1,0,[4:18:COMP] | [0:3:COMP],[0:4:COMP],giao hàng không đúng. mua sản phẩm có đính kèm quà tặng nhưng không hề nhận  được  quà tặng
viocd_test_117,viocd,test,1,1,0,[0:11:COMP],[0:1:COMP],không thấy quà tặng theo là như nào lừa đảo à ???
viocd_test_118,viocd,test,0,0,1,,,rất đẹp vải không được đẹp lắm nhưng được
viocd_test_120,viocd,test,2,0,0,[8:15:COMP] | [23:27:COMP],,"quyết định cho nph  5star   vì game hay, dù hình ảnh bị lỗi rất nhiều. mong nph sớm đăng hạn sử dụng  để khắc phục lỗi ạ!"
viocd_test_122,viocd,test,0,0,1,,,không có tặg quà 😢
viocd_test_123,viocd,test,1,0,0,[0:2:COMP],,vải xấu
viocd_test_125,viocd,test,4,1,0,[23:38:COMP] | [15:19:COMP] | [38:42:COMP],,tôi thấy bên nph game nên thay đổi lại phần thưởng trong đua top bang .quá bất công cho thành viên trong bang khi cả bang đua top mà bang chủ phần thưởng lại được nhiều hơn nhiều. không bằng nhau thì 
viocd_test_129,viocd,test,1,0,0,[0:7:COMP],,đồ giao không đúng mẫu đã đặt.
viocd_test_130,viocd,test,3,1,0,[47:59:COMP] | [1:6:COMP] | [8:26:COMP],[0:1:COMP],"các chương trình  quả người cáo, nhất là   kết nối trái tim   hay kết đôi gì đó cực kì phiền phức và làm phiền người dùng! tôi dùng aP vì để liên lạc với người quen và người tôi cần liên hệ chứ không "
viocd_test_136,viocd,test,4,0,0,[35:44:COMP] | [14:18:COMP] | [57:62:COMP] | [9:12:COMP],,"một shiPer gọi tôi và bảo quán tôi đặt đã đóng cửa và để shiPer tự huỷ đơn. tôi gọi đến quán đó hỏi thì họ bảo vẫn mở cửa bình thường. cuối cùng thì shiPer đó tự ý làm thành công đơn hàng, cũng may tô"
viocd_test_138,viocd,test,5,8,0,[4:12:COMP] | [0:3:COMP] | [22:31:COMP],[40:41:COMP] | [31:36:COMP] | [0:4:COMP] | [4:5:COMP] | [23:31:COMP] | [22:23:COMP],tôi bị chặn like. thích bài viết của tôi cũng không được. tôi đã báo cáo sự cố rất nhiều nhiều lần. tôi không chụp ảnh bằng camera trong instagram được. chỉ được chỉnh sửa anh. tôi thấy rất phiền. mon
viocd_test_140,viocd,test,0,2,0,,[54:55:COMP] | [55:68:COMP],"thực sự thì cho mình hỏi là có chuyện gì đã xảy ra với game vậy aD ? có máy vào được game có máy lại không. mình đã xoá và tải lại thêm lần nữa để xem thế nào , vì lần nào vào cũng thấy hiển thị kính "
viocd_test_142,viocd,test,0,0,1,,,đặt màu xanh lá nhạt số 35  cửa hàng  giao màu hồng số 36 mà mình tìm mãi trong hình  cửa hàng  đăng không có màu và mẫu đó luôn mong  cửa hàng  cố gắng bán theo những gì mình đăng nha
viocd_test_143,viocd,test,0,0,1,,,sản phẩm  đẹp có đều thun quần nhỏ lắm ☹
viocd_test_145,viocd,test,6,4,0,[19:29:COMP] | [62:67:COMP] | [29:48:COMP],[40:48:COMP],phải cho   1star   thì mới cho đăng bình luận. hãm thật. grab giờ chắc không cần khách nữa rồi! viết bình luận thế này chắc gì họ đã đọc. chuyển tài khoản từ máy này sang máy khác dùng mà lỗi lên lỗi 
viocd_test_152,viocd,test,6,3,0,[10:11:COMP] | [0:7:COMP] | [15:30:COMP],,có tài khoản không đăng nhập được trên ứng dụng nhưng trên web lại được. lập tài khoản mới thì chưa xong đã bảo vô hiệu hoá do vi phạm. tôi chả hiểu đến tài khoản còn chưa lập được thì vi phạm cái gì.
viocd_test_153,viocd,test,2,4,0,[16:24:COMP],[26:34:COMP] | [16:26:COMP] | [0:9:COMP],đóng gói giao hàng không xem hay sao vay. đéo mẹ bi rách vậy cũng giao. bị duoi hay sao không thay vậy  cửa hàng . thang nao con nao đống gối hàng vay.dm
viocd_test_154,viocd,test,1,0,0,[8:16:COMP],,ứng dụng rất tốt và hữu ích. nhưng phần hỏi đáp còn chung chung quá ạ. nhiều người vẫn không biết địa điểm để test xét nghiệm nên em nghĩ cần có giải đáp chi tiết hơn.
viocd_test_156,viocd,test,3,5,0,[8:19:COMP],[8:15:COMP] | [15:19:COMP] | [5:7:COMP],"hàng nhận không giống mẫu, tà chéo mà hàng nhận 2 lớp tà ngang hết, vải bị xướt . thất vọng"
viocd_test_157,viocd,test,3,1,0,[21:46:COMP] | [46:61:COMP] | [11:19:COMP],[24:46:COMP],"các bạn cần cân nhắc trước khi mua hàng trên tiki. đặt hàng từ người bán nước ngoài nên yêu cầu thanh toán trước, thanh toán xong chờ 5 ngày sau không thấy bất kì một phản hồi nào của tiki về trạng th"
viocd_test_158,viocd,test,2,4,0,[3:12:COMP],[7:13:COMP] | [3:7:COMP] | [0:1:COMP],"hàng nhật mà không có tem và không có kẹp giấy bạc , cảm không yên tâm"
viocd_test_160,viocd,test,0,0,1,,,"có lần em vô lại khoá học bị mất hết, phải làm sao ạ ?"
viocd_test_161,viocd,test,1,0,0,[0:3:COMP],,giao hơi chậm nhung vải mịn hang đẹp
viocd_test_164,viocd,test,1,1,0,[1:3:COMP],[1:2:COMP],tệ. lừa gạt khách hàng
viocd_test_170,viocd,test,1,0,0,[0:3:COMP],,cỡ  hơi rộng ai đi 38 thì nên chọn 35 la đep.
viocd_test_172,viocd,test,3,2,0,[4:7:COMP] | [29:35:COMP] | [15:19:COMP],[7:10:COMP] | [0:7:COMP],tài khoản của tôi đã bị khoá. đăng nhập cũng như tạo tài khoản mới cũng không  được . mong twt có thể lấy lại tài khoản giúp tôi. nếu không lấy lại  được  thì xin làm cách nào đó để tôi có thể tạo một
viocd_test_173,viocd,test,5,0,0,[30:37:COMP] | [0:6:COMP] | [16:29:COMP] | [52:57:COMP] | [37:48:COMP],,giảm điểm chính tích thăng cấp hoặc cho thêm đIểm để thăng quan. chứ  gì  mà mỗi lần vượt ải hay xử lí chính vụ có 5 điểm hà. mà điểm thăng quan cần tới 1k mấy. đây mới có tòng lục phẩm thôi mà đã như
viocd_test_174,viocd,test,2,0,0,[24:29:COMP] | [20:24:COMP],,mình vừa xoá đi tải lại để chắc chắn là tải về phiên bản mới nhất và vẫn không thể sử dụng được phần tìm bằng hình ảnh :(
viocd_test_175,viocd,test,1,1,0,[7:21:COMP],[20:31:COMP],"từ trưa nay báo bảo trì xong tôi đăng nhập vào tài khoản gOgle của tôi liên tục thất bại, không thể kết nối tài khoản cũ vào game được nữa"
viocd_test_177,viocd,test,2,3,0,[23:36:COMP] | [12:23:COMP],[28:36:COMP] | [23:28:COMP] | [13:23:COMP],"ứng dụng rất tốt, có ích cho việc học và tra cứu. nhưng ứng dụng đã cập nhật phần dịch rất bất tiện. không thể dịch ngược lại, không còn có thể coPy đoạn vừa dịch. mong rằng các  quả nó trị viên có th"
viocd_test_179,viocd,test,3,2,0,[20:37:COMP],,"da mình hơi nhạy cảm, da thoa xong bị nổi mẫn đỏ, phải ngưng sử dụng ngay lập tức. đem thoa vết thâm ở chân thì phải một thời gian dài nhưng chưa thấy hiệu  quả  lắm"
viocd_test_182,viocd,test,3,1,0,[37:41:COMP] | [26:29:COMP] | [63:68:COMP],[0:10:COMP],tôi không hỉu thế nào đồ thì nhăn .mỗng như lá lúa đườg chỉ thì thưa quần thì ngắn không nói tuỳ theo chiều cao .cn đằg này dồ rất mỗng mua 2 bộ giốg nhau thì lại giao khác nhau là sao vậy hả rồi mặt 
viocd_test_185,viocd,test,0,0,1,,,chán
viocd_test_186,viocd,test,0,0,1,,,"game hay nhưng mà hãy thêm các chức năng chém lang, cầm hai tai, như trên minecraft pc thì sẽ hay hơn nhiều"
viocd_test_187,viocd,test,1,1,0,[1:3:COMP],[0:6:COMP],giao thiếu sản phẩm quà tặng
viocd_test_189,viocd,test,0,1,0,,[7:8:COMP],tại sao để là tặng mút mà lúc giao lại không thấy ạ?
viocd_test_190,viocd,test,5,5,0,[16:36:COMP] | [50:64:COMP] | [36:49:COMP] | [65:73:COMP],[51:59:COMP] | [26:32:COMP] | [59:74:COMP] | [32:35:COMP],làm ơn sửa cái con kaz dùm hộ tôi đéo mẹ nó quá là lỗi !!! các bác định cho nó thành brutus 4.0 à ?? khả né bất tử luôn thì đánh đấm gì ??? ải thì cho lực chiến ngất ngưởng không công bằng với người c
viocd_test_192,viocd,test,2,0,0,[21:36:COMP] | [58:64:COMP],,"bình chọn 3 sao vì đồ hoạ cực đẹp, chơi được thôi chứ không lâu dài bởi vì các nhiệm vụ quẩn quanh chặt cây, trồng cây mới rồi quét sân các thứ chán lắm rồi... mà puZle game này cũng không có kiểu ghé"
viocd_test_194,viocd,test,7,2,0,[3:5:COMP] | [16:35:COMP] | [35:45:COMP] | [0:3:COMP] | [45:55:COMP] | [55:61:COMP],[0:8:COMP],game quá tệ chơi thua fishdom rất nhiều. cửa quá khó lượt quá ít. không thì cửa dễ cho trái nổ thì nhiều cửa khó ra màu tào lao không ghép được trái nổ nào. một cửa có thể chơi trên 10 mạng không qua.
viocd_test_195,viocd,test,0,0,1,,,ứng dụng này rất giảm mình đọc đúng mà cho say
viocd_test_196,viocd,test,0,0,1,,,"đã nhận được hàng,  hạn sử dụng  ok, còn hơn 2 năm nhưng sản phẩm mình nhận được phần mã check sản phẩm chính hãng bị lột mất một góc, mất 13 mã."
viocd_test_197,viocd,test,0,1,0,,[1:5:COMP],54  không mặc  cỡ  lồn mà bị chật
viocd_test_200,viocd,test,2,2,1,,,xin chào nhà phát hành game liên quân. tôi rất vui khi được biết đến tựa game này và tôi đã có những trải nghiệm rất thú vị về nó. nhưng gần đây tôi không còn cảm giác thú vị nào khi tôi vào chơi game
viocd_test_204,viocd,test,2,3,0,[7:21:COMP],[7:20:COMP] | [0:7:COMP],bớt buF ẩn cho admin đi . chơi khoá aC người chơi nạp game mà chưa chơi tới 7 ngày . mới quá trời 39 mà thằng admin vl45 trong khi xây thành mất 18h .
viocd_test_207,viocd,test,1,1,1,,,"áo đẹp, vải tốt nhưng giao nhầm một áo không đúng  cỡ . trừ   1star  ."
viocd_test_208,viocd,test,5,5,0,[12:39:COMP] | [55:67:COMP] | [0:3:COMP] | [3:12:COMP] | [40:55:COMP],[3:7:COMP] | [13:14:COMP] | [55:65:COMP] | [23:39:COMP] | [39:55:COMP],"đặt đơn mà không báo cho mình tình trạng quán đóng cửa còn thông báo là chờ đến 75 phút để lấy đơn, ai đời dư thời gian để ngồi chờ mấy tiếng đồng hồ để giao đồ ăn, đã vậy coi thường khách hàng nhắn t"
viocd_test_210,viocd,test,3,1,0,[43:51:COMP] | [62:68:COMP] | [52:56:COMP],[7:11:COMP],"nhân viên lex việt nam có thể không trung quốc thực, mình nhận khuyến mãi theo sản phẩm đả đặt có 3 cái móc gắn chìa khoá nằm trong 3 bịch riêng biệt, mà khi nhân viên giao thì đủ 3 bịch nhưng chỉ có "
viocd_test_211,viocd,test,0,0,1,,,chất vải được nhưng form hơi rộng mặt nạ mua nhớ giảm một  cỡ  nhé
viocd_test_213,viocd,test,1,0,0,[16:54:COMP],,admin có thể thêm phần giải thích nghĩa của từ vựng bằng tiếng nhật được không ạ.trước em thấy phiên bản cũ thì phía dưới mỗi từ vựng đều có kèm phần giải thích nghĩa và ví dụ của từ mới như trong từ 
viocd_test_214,viocd,test,6,6,0,[15:33:COMP],[14:29:COMP],"nhãn  cỡ  may cẩu thả, form dáng xấu tệ, tỉ lệ không cân xứng, xấu( đáy thì quá dài, chiều dài quần thì quá quá ngắn khiến cho người mua không hài lòng, mình chỉ 51 cân nhưng mặc  cỡ  lồn bị chật chỗ "
viocd_test_215,viocd,test,1,0,0,[23:27:COMP],,"lần trước mình có góp ý không biết admin có hiểu ý mình không, nhưng lần cập nhật gần đây về mảng sticker nó chưa ổn lắm. ý mình là tạo một chủ đề ví dụ  lắc đầu  thì người dùng (người dùng) có thể tự"
viocd_test_217,viocd,test,1,2,0,[0:15:COMP],[0:1:COMP] | [1:3:COMP],vai không giong nhu mo ta thun 4 chieu ma giao vai kate qua te
viocd_test_218,viocd,test,4,4,0,[33:47:COMP] | [71:77:COMP] | [48:55:COMP],[18:32:COMP] | [48:62:COMP] | [39:48:COMP],thật sự mà nói thì  cửa hàng E chỉ là một ứng dụng giao dịch mua bán nên không kiểm soát  được  hết các  cửa hàng  buôn bán trên đó như thế nào?? đặt hàng 3-4 cửa hàng  thì tất cả các  cửa hàng  báo h
viocd_test_220,viocd,test,1,0,0,[0:3:COMP],,không  thấy kèm hàng khuyến mai :(
viocd_test_221,viocd,test,1,0,0,[22:49:COMP],,"thật sự mà nói thì game này rất rất hay và chất lượng, hình ảnh và đồ hoạ nhân vật rất đẹp. nhưng có lẽ vì cập nhật hơi nhiều nên game sẽ có ít người chơi vì máy họ không có đủ dung lượng để cập nhật."
viocd_test_224,viocd,test,0,0,1,,,van con gàu
viocd_test_226,viocd,test,10,7,0,[3:5:COMP] | [9:12:COMP] | [13:20:COMP] | [20:31:COMP] | [1:3:COMP] | [47:56:COMP] | [5:8:COMP] | [57:65:COMP],[51:65:COMP] | [0:5:COMP] | [20:24:COMP] | [5:12:COMP] | [47:51:COMP],"nó lỗi và xàm quá, bất mãn quá đi..ad làm mệt thôi thì để mẹ nó phiên bản cũ đi, không cái tự nhiên đi cặp nhật phiên bản mới chi ,rồi giờ lỗi tùm lum từa lưa như zây mà khắc phục mãi vẫn chưa được, g"
viocd_test_228,viocd,test,0,0,1,,,cũng ổn. mong aD thêm tính năng. nếu khoá màn hình chương trình vẫn phát được nhé
